,Palmeiras,Sport Recife,Figueirense,Botafogo RJ,Corinthians,Internacional,Ponte Preta,Bahia,Cruzeiro,Vasco,Atletico GO,Flamengo RJ,Portuguesa,Nautico,Atletico-MG,Coritiba,Santos,Sao Paulo,Fluminense,Gremio,Vitoria,Criciuma,Atletico-PR,Goias,Chapecoense-SC,Avai,Joinville,Santa Cruz,America MG,Parana,Ceara
6,-0.3146279273910081,-0.08987249553765095,-0.003967604617658092,-0.3612451373209204,0.5331330496347753,-1.0305096967920524,0.2323736640276412,-0.2633099795544615,0.3332579797731502,-0.11411433972052033,0.032201141972986014,-0.023267445308438946,0.16054767063533681,-0.24822098601897977,-0.049300344851990176,0.10172792701695188,-0.05727716576984229,0.5937053527214857,0.2163950012241506,-0.252671690633049,0.2373802953161705,0.22161010907590303,-0.5616360899762071,-0.5191683618618473,0.7030831692612339,0.03503713684391821,-0.1109858280060755,0.10959124122867656,0.3067057802716082,0.09489760016841653,0.3349634377941261
7,-0.3216034298827159,-0.029450940581331745,-0.02161265328601668,-0.3486265655850256,0.2300221930713359,-0.35780218729699337,0.05543138662190249,-0.17085193452068403,0.194402660706522,-0.4735365115500538,0.2474713286684247,0.3661299884732004,0.05091676200291407,0.361116208323316,0.5624517752514229,0.2778734612049981,0.3041650475850464,-1.0168524308823925,-0.32595945770731033,0.6692127804652563,0.22369968052800385,-0.13718144041534783,-0.006266226733577182,-0.08561775517097389,0.04318640750055752,-0.1506859153034131,0.0014754754030692281,0.271944007079404,-0.38222585049953217,-0.33070199547818174,0.20167410568057703
8,0.20508792058013187,-0.7277364199295643,-0.20722675577612493,0.04132707788577233,-0.2510826132796737,-0.133481592724673,0.09440381671120078,0.1409412685900466,0.6408829129456611,-0.2340506312283194,-0.03290202848604371,0.25341461842017615,0.028944189700885768,0.0051121608215157505,-0.5531259938304689,0.035271858976572194,-0.34776983293021785,-0.4466031706088086,1.017966967554469,0.17590486251039528,-0.10314287055124578,-0.05803636881199432,0.38819929386578417,-0.004521390201852614,0.20827694685609585,-0.26345476019896635,0.22316842556087238,0.017488910934628375,0.26767380300486443,-0.16252483624331582,-0.30291275986787713
9,0.025579210847134173,0.8715335329353476,0.16658900653575007,0.17745792741951613,-0.16602809411048794,-0.07281925718797254,0.12382618950324535,0.31676288419320636,-0.20164872189116734,-0.29980595671250115,0.3074112221175695,-0.4725000171061134,0.08010693921157294,0.03441402746885827,0.2911568486128634,-0.020081932193288358,-0.45693520360384593,-0.17665824675279052,0.8025247683868675,0.32690144659332554,-0.23582224883979874,0.232093753536796,-0.24932093129739655,-0.2525876595197638,0.2137474831628246,0.11267699543774068,-0.3051568337575885,-0.11429819477473681,-0.46817810177275726,0.1475340142565081,-0.24339199136594694
10,-0.1091159046351076,0.3793113203378931,0.07044292092085494,0.09707053430239267,-0.7109324690681595,-0.32528761822107827,0.07590466118356558,-0.39071173965718753,-0.3300515034750981,-0.44462263719760137,-0.25477712801024616,-0.3037335057541135,0.1405010312144655,0.3409980621855888,-0.2661452724747425,0.253756680390723,0.26253145696252406,-0.39346306029722783,0.051671601888901235,-0.580104297949844,0.061173255880997736,-0.24437843423140465,-0.04870009751529932,-0.14269932992421394,-0.1978455628332001,-0.033917581993345755,0.09521019065870015,0.2672870684106692,0.5710993209429859,0.08207952531887733,0.028765325822596936
11,0.3824158344765107,-0.2624824229400369,0.45215002594232007,-0.14130278586063796,-0.4791819940546686,-0.07048641343267135,-0.3106726038751422,0.2956685216156028,-0.2339273316364366,-0.22667333219136135,0.397954592243276,0.0756886756343471,-0.4015063645487483,-0.21470583707102892,0.3091312594102532,-0.11386345025308922,-0.11599541865169265,-0.08547511422227798,-0.27369199653567466,-0.08447226285006028,0.3623661565599454,0.11351037362230498,0.18122802790769005,0.003933579483553933,0.644097139029875,0.46278170000898405,-0.0703051493646155,0.08679550117826126,0.35342203501812247,-0.09784793827319767,-0.15367551937542637
12,-0.032218328672103315,0.25105248900561716,-0.5472866120733503,0.008413348745796204,0.2663327788256587,0.010771714657052959,0.29328439475905843,0.05615024075692154,-0.48326697728322554,-0.08871290205609407,0.046800571969120776,0.25817699688148993,0.09917404269260456,-0.5073283949651746,0.3338727125550722,-0.028572170207432718,0.30646641320068196,0.05145179923589023,0.13445652432200592,-0.14980248199683385,-0.26063762463056017,-0.31322950404337424,0.3958452075497408,0.1209286858114894,0.3250907242567505,-0.2744252831076087,-0.21259540770789107,0.12980412253473314,0.3089191350661807,-0.30792210134818815,-0.36979695776517657
13,0.053393932719882894,-0.05068707434027145,-0.025620605724347642,-0.15600338126418006,0.0515559784271224,-0.44837090371834437,0.018638855529469513,0.19720339646256085,-0.1695652979906638,0.45150439573640966,-0.10619903738325166,0.4101951556393971,0.10757740483477453,0.04186528867072836,-0.0526709752463176,0.14836020587834983,-0.2849754937455311,-0.3858284329025755,-0.1645524739603561,-0.6283177206942168,-0.1949546422335229,0.23144576122516983,-0.12517780634144351,0.04735587040151749,-0.05955851916677461,0.166261678920512,0.10100476846141479,0.25959124913945414,-0.4832587855123914,0.16901253427110452,-0.5967017010268193
14,0.4211475958313358,-0.06909132819570352,0.07700246387634302,-0.4432312162942965,-0.03175525588655433,0.2778525609806982,0.4095617895131761,-0.37133995331988995,-0.3352313018768843,0.017510280939448775,0.07706229688390072,-0.034232044640610165,0.08826471195780558,0.11676182367900222,-0.4353141680256138,0.2281195671824436,-0.11937937952947385,-0.04178095300863474,-0.24002042432467377,0.1865590045345022,-0.39430864586901415,0.11662605916245404,0.2787711682779353,-0.2001331995824468,0.4510164983774672,-0.1597615220567265,-0.1326406871552362,0.09266163696903239,-0.18877720502685635,0.33098259292017956,0.25362412400133366
15,0.5761175624923683,0.06211696004065135,0.10673918334572267,-0.14785488798676488,0.26848951564930285,-0.23950579166112382,-0.2646383750120742,-0.1586207666623351,-0.12819706122704347,0.09264068093358654,-0.2857569854274792,0.05899396934899827,0.24902950080551786,-0.30491581571048515,-0.045457106074677844,-0.2020164045124671,0.1202125277628889,-0.220075296880915,0.22708819190004603,0.21412733762053063,-0.18221180405047488,-0.2808420924486435,0.02168154019282616,-0.17911904476743584,-0.31748615788121415,0.6356620137811172,-0.06000766903957856,-0.007600493249887809,0.08713104567025486,-0.09752128851767078,0.22383760860334517
